Super Account,Level,Badges
0x4988b2ac207c684125cadecd5cefa3a93dcaa72e,4,"[{""badgeId"":""0x11"",""name"":""Self Verification"",""tier"":""1""}]"
0x4da0086b2e014f5f43b3e8090f8c13a674d7d220,2,"[{""badgeId"":""0x11"",""name"":""Self Verification"",""tier"":""1""}]"
0xb616f982ea09db9b220233f59310714a71145858,2,"[{""badgeId"":""0x11"",""name"":""Self Verification"",""tier"":""1""}]"
0xd17f6ba8ca601b2d4384b90c6a0d475cc4ecab6e,3,[]
